Source,Target,weight
11,291,1
292,1937,1
294,1917,2
295,1086,10
296,302,7
296,416,3
302,416,3
296,1417,1
296,1895,4
297,115,1
297,4,1
297,367,15
367,367,1
298,472,1
298,310,3
298,332,2
310,332,15
300,178,1
302,1895,6
302,751,3
751,296,4
751,1895,3
305,9,1
306,719,1
306,476,1
307,1799,2
309,783,2
311,544,4
313,1407,8
316,85,2
318,1785,1
319,525,2
319,6,2
321,1082,2
321,142,3
321,573,1
321,1781,2
322,418,1
324,646,1
325,602,3
325,1985,2
602,1985,2
325,175,1
326,1040,1
327,959,1
328,1847,2
328,1482,5
328,1497,6
330,98,1
331,6,3
331,31,2
6,31,2
331,118,3
118,418,1
331,1,1
331,910,1
331,38,1
331,1411,6
331,35,1
331,19,1
332,95,1
334,1072,6
335,181,1
335,342,1
335,286,1
338,96,2
341,1538,18
341,1658,3
1538,1658,5
341,1467,3
1538,1467,5
1658,1467,4
341,1927,10
342,593,1
344,9,1
345,1801,1
345,1018,1
347,84,1
347,35,1
347,230,1
94,230,1
349,1696,1
350,237,2
351,487,1
351,13,1
351,227,2
352,887,2
352,132,15
887,132,2
352,1167,1
352,94,1
352,334,1
352,901,1
354,597,3
355,205,1
356,1656,2
356,1511,2
836,1511,2
357,1551,2
358,525,2
358,1085,1
359,1876,2
359,130,4
360,1085,1
360,63,2
360,1159,1
362,832,1
366,1405,2
366,107,1
369,216,2
369,352,1
369,827,2
369,35,3
370,1928,8
370,403,1
370,1058,1
371,14,1
372,1121,2
372,728,1
373,118,1
375,87,1
377,1818,3
377,1606,2
377,369,2
377,265,1
377,1179,4
1179,35,1
377,1511,1
377,749,1
369,749,1
749,35,3
1606,1179,1
381,961,1
382,433,1
385,1172,3
385,21,1
385,860,1
388,966,7
390,46,1
393,892,1
393,1237,1
394,1652,1
395,325,1
396,791,3
397,716,1
397,236,1
397,35,1
399,1036,3
399,1287,1
1036,1287,1
399,1688,1
399,24,4
399,742,1
399,688,1
400,1498,1
403,1744,1
404,947,2
405,1259,1
408,557,6
408,850,3
408,211,2
850,211,1
408,1248,10
408,195,1
1248,195,1
408,1850,1
408,13,2
410,777,4
410,1653,6
777,1653,1
410,187,2
777,187,1
1653,187,2
410,1803,4
1653,1803,1
1803,777,1
411,157,6
411,856,1
412,870,1
412,41,1
414,84,2
414,1316,2
414,989,2
1316,989,1
989,43,4
414,242,1
414,85,1
416,685,16
416,35,5
685,35,3
416,1818,3
685,1818,3
416,71,1
418,1920,2
419,1264,1
419,1291,2
419,1530,1
1291,1530,1
