Source,Target,weight
155,522,0.5
174,522,0.5
156,1041,2.5
156,140,0.5
156,366,1.0
159,28,1.0
159,1351,1.0
159,246,1.0
162,170,1.0
163,627,0.5
164,124,1.5
165,479,0.5
165,1235,0.5
165,593,0.5
165,1731,0.5
166,609,7.0
167,1113,1.0
167,307,2.0
1113,307,3.0
170,263,2.0
1386,263,3.0
170,569,2.5
1386,569,2.0
263,569,9.0
170,639,1.0
1386,639,1.0
173,1389,1.5
173,847,3.5
174,189,1.0
174,817,0.5
177,484,1.0
177,179,0.5
178,449,0.5
178,335,0.5
449,335,0.5
178,439,0.5
449,439,0.5
335,439,0.5
178,81,1.0
449,81,0.5
335,81,0.5
439,81,0.5
179,653,1.0
180,278,0.5
180,42,0.5
181,243,4.5
181,34,6.5
243,34,6.0
181,1049,0.5
181,62,1.0
181,307,1.0
307,243,0.5
181,77,1.0
243,77,1.5
183,1739,3.0
184,1412,0.5
186,922,4.0
186,539,0.5
186,672,0.5
186,699,1.0
186,892,0.5
186,152,1.0
187,353,2.0
187,51,0.5
51,353,0.5
188,919,1.0
189,227,1.0
189,38,0.5
227,38,1.0
189,31,0.5
38,31,1.0
189,150,0.5
192,47,0.5
193,349,0.5
195,557,3.0
195,701,0.5
197,1482,0.5
197,1433,0.5
199,636,1.0
200,460,1.0
200,1488,2.0
201,418,1.0
203,321,2.0
203,1190,1.0
204,64,0.5
205,1855,2.5
205,195,0.5
205,1585,0.5
195,1585,0.5
207,482,0.5
207,731,1.0
209,230,0.5
209,358,0.5
210,1873,0.5
210,1078,1.5
211,1187,0.5
211,1074,1.0
211,290,1.5
211,657,0.5
290,657,0.5
211,1793,1.0
213,1491,1.0
214,274,1.0
215,815,1.0
215,250,0.5
216,60,0.5
216,217,0.5
217,2,1.5
217,245,1.0
217,124,1.0
217,41,2.0
217,84,0.5
219,719,1.5
219,255,0.5
219,1107,0.5
221,128,1.0
221,1025,1.0
221,531,0.5
221,234,0.5
224,549,8.0
224,775,2.5
224,347,6.5
224,836,4.0
347,836,1.0
224,1053,3.0
31,549,0.5
549,347,2.0
549,775,0.5
347,775,0.5
31,836,0.5
224,346,1.0
549,346,1.0
31,775,0.5
224,372,0.5
31,372,0.5
775,372,0.5
224,1344,1.0
549,1344,1.0
224,904,0.5
94,347,1.0
836,94,0.5
225,241,0.5
225,2,0.5
225,19,0.5
226,418,1.5
226,1251,2.0
227,86,0.5
227,1175,1.0
227,224,1.0
227,24,36.5
227,1488,3.0
227,396,0.5
227,43,2.0
43,31,0.5
31,150,0.5
227,863,1.0
863,31,1.5
227,1843,0.5
1488,1843,0.5
229,408,0.5
229,1974,2.5
230,255,1.0
255,39,0.5
230,1170,1.0
1170,255,0.5
230,1688,0.5
1170,1688,0.5
11,446,0.5
230,1537,2.5
39,1537,1.0
11,1537,0.5
446,1537,0.5
1537,54,6.0
136,39,0.5
136,1537,0.5
230,702,0.5
230,1210,0.5
232,614,1.5
232,1217,0.5
232,214,0.5
614,214,0.5
232,1812,1.0
233,305,0.5
233,22,0.5
234,1258,1.0
234,531,1.0
235,809,3.5
235,469,0.5
235,844,1.5
235,889,0.5
236,464,0.5
236,820,4.0
236,468,1.5
236,1771,0.5
236,594,1.0
820,594,1.0
236,1095,1.0
237,1510,7.0
237,1860,0.5
1510,1860,0.5
237,351,1.0
237,1109,8.5
1109,1510,1.5
238,244,1.5
239,1103,1.0
239,47,0.5
239,860,0.5
240,1160,1.0
240,894,1.0
241,1338,1.0
241,535,0.5
241,35,1.5
535,35,1.5
241,64,2.5
243,630,0.5
630,181,0.5
630,62,0.5
630,77,0.5
245,1130,1.5
247,84,0.5
248,66,0.5
248,57,1.0
251,594,0.5
251,1500,0.5
252,647,0.5
255,1055,1.0
255,1311,0.5
255,1210,1.5
255,1738,0.5
255,121,0.5
255,1651,0.5
121,1651,0.5
255,693,0.5
121,693,0.5
1651,693,0.5
256,73,1.0
257,772,2.5
257,418,1.0
258,321,0.5
258,646,1.5
258,1404,0.5
258,292,0.5
258,203,1.0
260,400,0.5
261,460,1.5
128,460,0.5
262,617,1.0
262,581,0.5
262,1213,0.5
581,1213,4.0
262,44,0.5
262,702,0.5
262,230,0.5
263,1665,1.0
569,1665,1.5
170,1665,0.5
1665,1386,0.5
569,569,0.5
264,1262,0.5
265,1054,0.5
265,408,1.0
265,541,0.5
265,1996,1.0
265,757,1.0
1996,757,1.0
265,1021,0.5
269,104,1.0
270,593,1.0
270,101,0.5
271,744,7.0
271,585,2.0
271,798,0.5
798,744,0.5
744,585,1.5
274,1547,0.5
274,180,3.0
275,966,2.5
275,1142,4.5
275,388,1.0
276,128,0.5
276,602,0.5
