Source,Target,weight
162,170,2020
163,627,2019
164,124,2021
165,479,2023
165,1235,2022
165,593,2022
165,1731,2020
166,609,2023
167,1113,2020
167,307,2020
1113,307,2020
170,263,2023
1386,263,2023
170,569,2023
1386,569,2023
263,569,2023
170,639,2019
1386,639,2019
173,1389,2023
173,847,2022
174,189,2022
174,817,2018
177,484,2022
177,179,2020
178,449,2020
178,335,2020
449,335,2020
178,439,2020
449,439,2020
335,439,2020
178,81,2020
449,81,2020
335,81,2020
439,81,2020
179,653,2021
180,278,2020
180,42,2019
181,243,2020
181,34,2020
243,34,2020
181,1049,2020
181,62,2020
181,307,2018
307,243,2018
181,77,2018
243,77,2019
183,1739,2022
184,1412,2018
186,922,2023
186,539,2021
186,672,2021
186,699,2019
186,892,2018
186,152,2018
187,353,2022
187,51,2020
51,353,2020
188,919,2020
189,227,2021
189,38,2021
227,38,2021
189,31,2021
38,31,2021
189,150,2018
192,47,2021
193,349,2020
195,557,2022
195,701,2020
197,1482,2021
197,1433,2018
199,636,2021
200,460,2023
200,1488,2019
201,418,2020
203,321,2023
203,1190,2021
204,64,2020
205,1855,2021
205,195,2019
205,1585,2019
195,1585,2019
207,482,2018
207,731,2018
209,230,2022
209,358,2018
210,1873,2023
210,1078,2023
211,1187,2023
211,1074,2021
211,290,2021
211,657,2021
290,657,2021
211,1793,2021
213,1491,2023
214,274,2019
215,815,2018
215,250,2018
216,60,2019
216,217,2018
217,2,2018
217,245,2022
217,124,2022
217,41,2018
217,84,2018
219,719,2023
219,255,2019
219,1107,2019
221,128,2023
221,1025,2022
221,531,2020
221,234,2018
224,549,2023
224,775,2023
224,347,2023
224,836,2023
347,836,2023
224,1053,2023
31,549,2023
549,347,2022
549,775,2022
347,775,2022
31,836,2021
224,346,2021
549,346,2021
31,775,2021
224,372,2021
31,372,2021
775,372,2021
224,1344,2021
549,1344,2021
224,904,2020
94,347,2020
836,94,2020
225,241,2022
225,2,2019
225,19,2018
226,418,2022
226,1251,2020
227,86,2023
227,1175,2023
227,224,2022
227,24,2021
227,1488,2021
227,396,2020
227,43,2022
43,31,2020
31,150,2020
227,863,2019
863,31,2021
227,1843,2019
1488,1843,2019
229,408,2023
229,1974,2021
230,255,2023
255,39,2023
230,1170,2023
1170,255,2023
230,1688,2022
1170,1688,2022
11,446,2022
230,1537,2022
39,1537,2022
11,1537,2022
446,1537,2022
1537,54,2022
136,39,2020
136,1537,2020
230,702,2019
230,1210,2018
232,614,2023
232,1217,2022
232,214,2022
614,214,2022
232,1812,2020
233,305,2023
233,22,2023
234,1258,2020
234,531,2018
235,809,2023
235,469,2022
235,844,2022
235,889,2022
236,464,2022
236,820,2022
236,468,2020
236,1771,2020
236,594,2019
820,594,2019
236,1095,2019
237,1510,2023
237,1860,2022
1510,1860,2022
237,351,2021
237,1109,2023
1109,1510,2023
238,244,2022
239,1103,2020
239,47,2018
239,860,2018
240,1160,2022
240,894,2020
241,1338,2023
