Source,Target,weight
211,1793,1
213,1491,1
214,274,1
215,815,1
215,250,1
216,60,1
216,217,1
217,2,1
217,245,1
217,124,1
217,41,1
217,84,1
219,719,1
219,255,1
219,1107,1
221,128,1
221,1025,1
221,531,1
221,234,1
224,549,1
224,775,1
224,347,1
224,836,1
347,836,1
224,1053,1
31,549,1
549,347,1
549,775,1
347,775,1
31,836,1
224,346,1
549,346,1
31,775,1
224,372,1
31,372,1
775,372,1
224,1344,1
549,1344,1
224,904,1
94,347,1
836,94,1
225,241,1
225,2,1
225,19,1
226,418,1
226,1251,1
227,86,1
227,1175,1
227,224,1
227,24,1
227,1488,1
227,396,1
227,43,1
43,31,1
31,150,1
227,863,1
863,31,1
227,1843,1
1488,1843,1
229,408,1
229,1974,1
230,255,1
255,39,1
230,1170,1
1170,255,1
230,1688,1
1170,1688,1
11,446,1
230,1537,1
39,1537,1
11,1537,1
446,1537,1
1537,54,1
136,39,1
136,1537,1
230,702,1
230,1210,1
232,614,1
232,1217,1
232,214,1
614,214,1
232,1812,1
233,305,1
233,22,1
234,1258,1
234,531,1
235,809,1
235,469,1
235,844,1
235,889,1
236,464,1
236,820,1
236,468,1
236,1771,1
236,594,1
820,594,1
236,1095,1
237,1510,1
237,1860,1
1510,1860,1
237,351,1
237,1109,1
1109,1510,1
238,244,1
239,1103,1
239,47,1
239,860,1
240,1160,1
240,894,1
241,1338,1
241,535,1
241,35,1
535,35,1
241,64,1
243,630,1
630,181,1
630,62,1
630,77,1
245,1130,1
247,84,1
248,66,1
248,57,1
251,594,1
251,1500,1
252,647,1
255,1055,1
255,1311,1
255,1210,1
255,1738,1
255,121,1
255,1651,1
121,1651,1
255,693,1
121,693,1
1651,693,1
256,73,1
257,772,1
257,418,1
258,321,1
258,646,1
258,1404,1
258,292,1
258,203,1
260,400,1
261,460,1
128,460,1
262,617,1
262,581,1
262,1213,1
581,1213,1
262,44,1
262,702,1
262,230,1
263,1665,1
569,1665,1
170,1665,1
1665,1386,1
569,569,1
264,1262,1
265,1054,1
265,408,1
265,541,1
265,1996,1
265,757,1
1996,757,1
265,1021,1
269,104,1
270,593,1
270,101,1
271,744,1
271,585,1
271,798,1
798,744,1
744,585,1
274,1547,1
274,180,1
275,966,1
275,1142,1
275,388,1
276,128,1
276,602,1
128,602,1
276,745,1
276,1015,1
745,1015,1
278,1172,1
278,1614,1
278,1277,1
278,405,1
278,1385,1
280,224,1
280,203,1
280,321,1
281,172,1
284,1620,1
284,518,1
284,814,1
284,1290,1
284,215,1
284,104,1
284,1496,1
284,1287,1
285,1392,1
285,797,1
286,439,1
287,1558,1
288,473,1
288,1878,1
288,471,1
289,1531,1
289,1967,1
290,11,1
290,291,1
11,291,1
292,1937,1
294,1917,1
295,1086,1
296,302,1
296,416,1
302,416,1
296,1417,1
296,1895,1
297,115,1
297,4,1
297,367,1
367,367,1
298,472,1
298,310,1
298,332,1
310,332,1
300,178,1
302,1895,1
302,751,1
751,296,1
751,1895,1
305,9,1
306,719,1
306,476,1
307,1799,1
309,783,1
311,544,1
313,1407,1
316,85,1
318,1785,1
319,525,1
319,6,1
321,1082,1
321,142,1
321,573,1
321,1781,1
322,418,1
324,646,1
325,602,1
325,1985,1
602,1985,1
325,175,1
326,1040,1
327,959,1
328,1847,1
328,1482,1
328,1497,1
330,98,1
331,6,1
331,31,1
6,31,1
331,118,1
118,418,1
331,1,1
331,910,1
331,38,1
331,1411,1
331,35,1
331,19,1
332,95,1
334,1072,1
335,181,1
335,342,1
335,286,1
338,96,1
341,1538,1
341,1658,1
1538,1658,1
341,1467,1
1538,1467,1
1658,1467,1
341,1927,1
342,593,1
344,9,1
345,1801,1
345,1018,1
