Id,Label,authid,TopRank,University,Country,pub_2023,pub_cit_2023,tot_citations,curYear_citations,prevYear_citations,tourism,tourism_marketing,tourism_management,tourism_economics,destination_marketing,Hotel_and_Tourism_management,tourist_behavior,tourism_impacts,sustainable_tourism
736,Ahmet Usakli,736,1,Boğaziçi University,,1,4,1615,203,235,1,0,0,0,1,0,0,0,0
737,Pere Suau-Sanchez,737,1,"Faculty of Economics and Business, Universitat Oberta de Catalunya",,1,0,1613,271,343,1,0,0,0,0,0,0,0,0
738,Seldjan Timur,738,1,Eastern Mediterranean University,,0,0,1611,107,149,1,0,0,0,0,0,0,0,1
739,Sita Mishra,739,1,"Professor (Marketing), Institute of Management Technology- Ghaziabad",,10,75,1608,293,323,1,0,0,0,0,0,0,0,0
740,Chih-Hung Wang,740,1,National Taichung University of Education,,0,0,1608,211,268,1,0,0,0,0,0,0,0,0
741,Angelo Nicolaides,741,1,"HOD Philosophy and Applied Ethics, University of Zululand, South Africa",,7,1,1605,217,259,1,0,0,0,0,0,0,0,0
742,Amit Birenboim,742,1,"Department of Geography, The Hebrew University of Jerusalem",,6,1,1604,179,224,1,0,0,0,0,0,0,0,0
743,Ilenia Confente,743,1,"Università di Verona, Dipartimento di Economia Aziendale",,5,3,1604,393,429,1,0,0,0,0,0,0,0,0
744,Ada Chigozie Akadiri.,744,1,Assistant Professor of Economics at Cyprus West University,,0,0,1599,355,459,1,0,0,0,0,0,0,0,0
745,Sarah Gardiner,745,1,Griffith University,,9,14,1595,227,261,1,0,0,0,0,0,0,0,0
746,Julen Izagirre-Olaizola,746,1,Universidad del País Vasco/ Euskal Herriko Unibertsitatea (UPV/EHU),,2,2,1594,210,320,1,0,0,0,0,0,0,0,1
747,Norzalita Aziz,747,1,"Assoc Professor of Marketing, UKM-GSB",,11,10,1593,199,262,1,1,0,0,0,0,0,0,0
748,Daniel Badulescu,748,1,University of Oradea,,7,6,1591,342,350,1,0,0,0,0,0,0,0,0
749,Piera Buonincontri,749,1,Ricercatore presso ISMED - CNR,,0,0,1589,258,338,1,0,0,0,0,0,0,0,0
750,Alexandros Apostolakis,750,1,"Professor, Hellenic Mediterranean University , Dept of Business Administration and Tourism",,1,0,1584,114,179,1,0,1,1,0,0,0,0,0
751,Prof. Dr. Özlem Güzel,751,1,Akdeniz Üniversitesi,,1,0,1581,119,277,1,1,0,0,1,0,0,0,0
752,Hania Janta,752,1,University of Basel,,3,2,1572,179,202,1,0,0,0,0,0,0,0,0
753,Marie Delaplace,753,1,Université Gustave Eiffel,,10,1,1572,91,166,1,0,0,0,0,0,0,0,0
754,Vanja Dragicevic Pavlukovic,754,1,"Associate professor, University of Novi Sad, Faculty of Sciences, Department of geography …",,7,5,1571,158,217,1,0,0,0,0,0,0,0,0
755,Dr. Abdus Sattar Abbasi,755,1,"Head, Center of Islamic Finance, COMSATS University (CUI) Lahore Campus",,0,0,1571,139,179,1,0,0,0,0,0,0,0,0
756,Laurent Botti,756,1,"University of Perpignan, CRESEM (Axe R&T)",,2,1,1567,104,131,1,0,1,0,0,0,0,0,0
757,Jörg Finsterwalder,757,1,"Professor of Marketing, University of Canterbury",,2,3,1565,233,315,1,1,0,0,0,0,0,0,0
758,Xose M. Santos,758,1,University of Santiago de Compostela,,7,1,1559,111,138,1,0,0,0,0,0,0,0,0
759,Dio Caisar Darma,759,1,"Researcher (Department of Economics, FEB-Universitas Mulawarman)",,4,1,1558,404,515,1,0,0,1,0,0,0,0,0
760,Anthony Winson,760,1,"Professor emeritus of Sociology, University of Guelph",,0,0,1557,39,56,1,0,0,0,0,0,0,0,0
761,Richard TR QIU,761,1,The Hong Kong Polytechnic University,,4,11,1553,407,523,1,0,0,1,0,0,0,0,0
762,Marko Perić,762,1,"University of Rijeka, Faculty of Tourism and Hospitality Management",,5,3,1551,298,342,1,0,0,0,0,0,0,0,0
763,Lluís Coromina,763,1,"Associate Professor, ViceDean Faculty of Tourism, University of Girona",,7,3,1550,181,254,1,0,0,0,0,0,0,0,0
764,MOHINDER CHAND PhD,764,1,"Professor, Department of Tourism and Hotel Management, kurukshetra university",,5,5,1550,105,154,1,0,1,0,0,0,0,0,0
765,Joao R Freire,765,1,"Professor, IPAM - Researcher at ICNOVA",,0,0,1542,47,86,1,0,0,0,0,0,0,0,0
766,Kerry B. Godfrey,766,1,University of Lethbridge,,0,0,1537,35,80,1,0,0,0,0,0,0,0,0
767,Torvald Tangeland,767,1,"Consumption Research Norway (SIFO), OsloMet - Oslo Metropolitan University",,0,0,1536,113,166,1,0,0,0,0,0,0,0,0
